,gameId,gameMode,win,duration
3,4978821373,CLASSIC,Fail,32.13333333333333
4,4978672292,CLASSIC,Fail,33.833333333333336
6,4978152749,CLASSIC,Fail,20.85
9,4973233871,CLASSIC,Fail,43.13333333333333
10,4973053891,CLASSIC,Fail,42.1
11,4970655600,CLASSIC,Fail,33.4
13,4966033862,CLASSIC,Fail,22.183333333333334
14,4965776967,CLASSIC,Fail,18.383333333333333
16,4965572660,CLASSIC,Fail,20.383333333333333
18,4965150669,CLASSIC,Fail,33.61666666666667
21,4961587588,CLASSIC,Fail,16.183333333333334
22,4961539204,CLASSIC,Fail,34.5
23,4955067760,CLASSIC,Fail,29.8
30,4945252953,CLASSIC,Fail,24.466666666666665
31,4944924172,CLASSIC,Fail,28.666666666666668
33,4944477582,CLASSIC,Fail,26.85
34,4944318680,CLASSIC,Fail,26.433333333333334
35,4944301865,CLASSIC,Fail,15.683333333333334
38,4943491424,CLASSIC,Fail,16.95
41,4942093875,CLASSIC,Fail,23.4
44,4941844929,CLASSIC,Fail,28.116666666666667
45,4936232283,CLASSIC,Fail,29.166666666666668
46,4936007262,CLASSIC,Fail,43.9
48,4935873206,CLASSIC,Fail,21.683333333333334
49,4934151506,CLASSIC,Fail,25.383333333333333
51,4933648210,CLASSIC,Fail,20.816666666666666
52,4925644140,CLASSIC,Fail,38.06666666666667
55,4920761378,CLASSIC,Fail,27.316666666666666
56,4920572557,CLASSIC,Fail,20.65
57,4918497836,CLASSIC,Fail,26.15
58,4918308311,CLASSIC,Fail,31.816666666666666
59,4918251339,CLASSIC,Fail,25.916666666666668
64,4914163584,ARAM,Fail,16.066666666666666
66,4911650268,ARAM,Fail,22.133333333333333
67,4861715362,CLASSIC,Fail,23.883333333333333
70,4859651953,CLASSIC,Fail,27.133333333333333
71,4859477566,CLASSIC,Fail,26.716666666666665
72,4859511237,CLASSIC,Fail,21.283333333333335
76,4689763607,URF,Fail,16.65
78,4689670468,URF,Fail,11.566666666666666
79,4689632684,URF,Fail,16.733333333333334
80,4541283081,CLASSIC,Fail,26.6
81,4540878821,CLASSIC,Fail,27.15
82,4523456816,ARAM,Fail,16.05
83,4523401925,CLASSIC,Fail,24.3
85,4523219652,CLASSIC,Fail,34.483333333333334
86,4513878778,CLASSIC,Fail,36.733333333333334
88,4489963086,ARAM,Fail,13.983333333333333
89,4489889837,ARAM,Fail,8.133333333333333
90,4489846701,ARAM,Fail,14.033333333333333
92,4489699652,ARAM,Fail,17.016666666666666
93,4488277962,ARAM,Fail,23.516666666666666
94,4488243797,ARAM,Fail,17.166666666666668
96,4486889566,CLASSIC,Fail,24.233333333333334
99,4486811578,CLASSIC,Fail,35.28333333333333
